date locale	heure locale	t	hr	psta	rf1e
date loc	heure	C	0-100	hPa	kJ/m2/h
20/01/2015	17	-15.0	60.0	989.033	40.0
20/01/2015	18	-15.0	60.0	990.031	0
20/01/2015	19	-15.0	66.0	991.028	0
20/01/2015	20	-15.0	66.0	992.026	0
20/01/2015	21	-16.0	65.0	992.024	0
20/01/2015	22	-16.0	65.0	993.022	0
20/01/2015	23	-16.0	65.0	994.02	0
21/01/2015	00	-17.0	71.0	995.018	0
21/01/2015	01	-17.0	65.0	995.018	0
21/01/2015	02	-18.0	71.0	997.017	0
21/01/2015	03	-18.0	71.0	998.015	0
21/01/2015	04	-18.0	71.0	999.014	0
21/01/2015	05	-19.0	71.0	999.013	0
21/01/2015	06	-20.0	77.0	1000.01	0
21/01/2015	07	-19.0	77.0	1001.01	0
21/01/2015	08	-19.0	77.0	1002.01	30.0
21/01/2015	09	-18.0	77.0	1003.01	400.0
21/01/2015	10	-16.0	71.0	1003.01	980.0
21/01/2015	11	-14.0	60.0	1003.01	1359.0
21/01/2015	12	-13.0	61.0	1003.01	1579.0
21/01/2015	13	-13.0	61.0	1003.01	1587.0
21/01/2015	14	-12.0	61.0	1004.01	1392.0
21/01/2015	15	-11.0	56.0	1004.01	1000.0
21/01/2015	16	-11.0	56.0	1005	220.0
21/01/2015	17	-12.0	66.0	1005	40.0
21/01/2015	18	-13.0	66.0	1005	0
21/01/2015	19	-15.0	71.0	1005	0
21/01/2015	20	-14.0	72.0	1005	0
21/01/2015	21	-15.0	71.0	1005	0
21/01/2015	22	-15.0	71.0	1005	0
21/01/2015	23	-16.0	78.0	1005	0
22/01/2015	00	-16.0	78.0	1005	0
22/01/2015	01	-16.0	78.0	1005	0
22/01/2015	02	-16.0	78.0	1005	0
22/01/2015	03	-16.0	71.0	1005	0
22/01/2015	04	-17.0	77.0	1005	0
22/01/2015	05	-17.0	77.0	1005	0
22/01/2015	06	-17.0	77.0	1005	0
22/01/2015	07	-17.0	77.0	1005	0
22/01/2015	08	-18.0	84.0	1005	30.0
22/01/2015	09	-16.0	78.0	1005	390.0
22/01/2015	10	-15.0	78.0	1004	960.0
22/01/2015	11	-13.0	66.0	1004	1336.0
22/01/2015	12	-12.0	66.0	1003	1584.0
22/01/2015	13	-11.0	67.0	1002	1597.0
22/01/2015	14	-10.0	67.0	1002	1439.0
22/01/2015	15	-9.0	57.0	1003	1021.0
22/01/2015	16	-10.0	67.0	1002	280.0
22/01/2015	17	-11.0	72.0	1003	60.0
22/01/2015	18	-12.0	72.0	1002	0
22/01/2015	19	-12.0	72.0	1002	0
22/01/2015	20	-10.0	67.0	1002	0
22/01/2015	21	-10.0	62.0	1002	0
22/01/2015	22	-10.0	67.0	1001	0
22/01/2015	23	-10.0	67.0	1001	0
23/01/2015	00	-12.0	72.0	1001	0
23/01/2015	01	-12.0	72.0	1001	0
23/01/2015	02	-12.0	78.0	1000	0
23/01/2015	03	-11.0	78.0	999	0
23/01/2015	04	-11.0	78.0	999	0
23/01/2015	05	-11.0	78.0	999	0
23/01/2015	06	-12.0	85.0	998	0
23/01/2015	07	-10.0	85.0	997	0
23/01/2015	08	-12.0	85.0	996	50.0
23/01/2015	09	-11.0	85.0	995	370.0
23/01/2015	10	-8.0	85.0	994	520.0
23/01/2015	11	-5.0	74.0	992	740.0
23/01/2015	12	-1.0	64.0	991	1374.0
23/01/2015	13	-1.0	64.0	989	1656.0
23/01/2015	14	-1.0	69.0	989	800.0
23/01/2015	15	-1.0	69.0	988	780.0
23/01/2015	16	-1.0	69.0	988	340.0
23/01/2015	17	-1.0	69.0	987	40.0
23/01/2015	18	-2.0	74.0	987	0
23/01/2015	19	-2.0	74.0	987	0
23/01/2015	20	-2.0	74.0	986	0
23/01/2015	21	-2.0	69.0	986	0
23/01/2015	22	-2.0	69.0	985	0
